country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,25-06-2020,-27,-7,72,-36,-43,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,26-06-2020,-30,-9,35,-33,-43,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,27-06-2020,-34,-17,18,-23,-6,3
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,28-06-2020,-36,-13,55,-24,5,1
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,29-06-2020,-20,-11,31,-36,-43,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,30-06-2020,-21,-11,-1,-37,-43,11
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,01-07-2020,-23,-11,8,-36,-44,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,02-07-2020,-21,-9,31,-36,-45,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,03-07-2020,-24,-11,41,-31,-45,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,04-07-2020,-30,-19,10,-21,-7,2
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,05-07-2020,-34,-15,33,-26,-4,1
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,06-07-2020,-20,-16,33,-37,-48,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,07-07-2020,-18,-11,50,-37,-47,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,08-07-2020,-29,-19,-24,-39,-45,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,09-07-2020,-25,-15,33,-39,-46,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,10-07-2020,-28,-18,34,-34,-46,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,11-07-2020,-31,-25,83,-19,-4,0
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,12-07-2020,-30,-16,115,-19,4,-2
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,13-07-2020,-19,-19,97,-38,-49,8
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,14-07-2020,-26,-21,8,-43,-49,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,15-07-2020,-27,-21,27,-40,-46,8
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,16-07-2020,-31,-22,-1,-43,-48,11
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,17-07-2020,-32,-22,36,-37,-48,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,18-07-2020,-38,-31,91,-24,-5,-1
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,19-07-2020,-38,-24,89,-26,3,-2
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,20-07-2020,-22,-17,69,-47,-61,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,21-07-2020,-50,-59,126,-61,-76,15
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,22-07-2020,-30,-17,52,-43,-49,8
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,23-07-2020,-32,-21,56,-45,-50,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,24-07-2020,-39,-25,11,-44,-51,12
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,25-07-2020,-42,-31,33,-31,-8,3
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,26-07-2020,-42,-27,56,-29,2,0
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,27-07-2020,-31,-24,51,-46,-55,11
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,28-07-2020,-31,-22,46,-48,-53,11
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,29-07-2020,-33,-23,61,-45,-52,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,30-07-2020,-35,-18,45,-47,-54,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,31-07-2020,-46,-29,39,-46,-56,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,01-08-2020,-45,-34,44,-34,-9,2
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,02-08-2020,-39,-27,50,-31,3,-1
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,03-08-2020,-30,-25,25,-48,-56,11
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,04-08-2020,-27,-20,61,-48,-55,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,05-08-2020,-31,-23,67,-45,-54,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,06-08-2020,-36,-24,48,-49,-56,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,07-08-2020,-41,-26,40,-45,-55,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,08-08-2020,-49,-36,39,-36,-12,1
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,09-08-2020,-48,-32,43,-36,-1,-1
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,10-08-2020,-32,-24,46,-49,-56,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,11-08-2020,-33,-22,42,-50,-56,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,12-08-2020,-38,-26,31,-48,-54,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,13-08-2020,-40,-25,7,-50,-55,12
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,14-08-2020,-37,-19,20,-44,-54,11
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,15-08-2020,-59,-58,39,-39,-23,5
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,16-08-2020,-44,-19,30,-34,0,0
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,17-08-2020,-27,-16,,-47,-57,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,18-08-2020,-30,-20,,-47,-52,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,19-08-2020,-35,-24,18,-45,-51,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,20-08-2020,-37,-25,29,-48,-53,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,21-08-2020,-36,-25,43,-43,-51,11
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,22-08-2020,-41,-32,30,-32,-10,3
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,23-08-2020,-43,-25,19,-35,-2,1
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,24-08-2020,-29,-22,16,-45,-52,11
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,25-08-2020,-28,-19,12,-45,-51,11
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,26-08-2020,-31,-21,9,-43,-49,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,27-08-2020,-30,-20,18,-43,-50,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,28-08-2020,-30,-19,10,-37,-49,11
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,29-08-2020,-31,-23,28,-25,-12,3
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,30-08-2020,-40,-22,5,-31,-7,2
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,31-08-2020,-14,-8,,-38,-52,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,01-09-2020,-21,-7,33,-38,-48,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,02-09-2020,-22,-8,38,-34,-46,8
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,03-09-2020,-28,-12,9,-36,-47,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,04-09-2020,-26,-13,23,-29,-46,8
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,05-09-2020,-26,-19,51,-21,-13,2
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,06-09-2020,-29,-10,66,-21,-10,1
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,07-09-2020,-22,-13,,-31,-50,7
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,08-09-2020,-26,-12,23,-34,-47,7
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,09-09-2020,-26,-11,29,-32,-44,7
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,10-09-2020,-26,-12,38,-33,-45,7
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,11-09-2020,-25,-13,42,-28,-44,7
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,12-09-2020,-26,-18,76,-18,-13,1
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,13-09-2020,-28,-11,104,-17,-9,-1
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,14-09-2020,-23,-13,62,-30,-43,6
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,15-09-2020,-25,-11,64,-32,-40,6
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,16-09-2020,-25,-11,54,-29,-40,6
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,17-09-2020,-28,-15,29,-34,-41,7
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,18-09-2020,-27,-15,46,-28,-41,7
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,19-09-2020,-29,-20,83,-17,-13,1
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,20-09-2020,-27,-18,149,0,-13,1
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,21-09-2020,-25,-13,49,-30,-44,7
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,22-09-2020,-26,-11,48,-31,-40,7
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,23-09-2020,-30,-11,19,-29,-37,8
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,24-09-2020,-32,-16,-7,-33,-39,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,25-09-2020,-34,-18,-21,-29,-39,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,26-09-2020,-34,-20,-7,-25,-16,5
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,27-09-2020,-37,-20,16,-26,-15,4
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,28-09-2020,-37,-23,-22,-29,-44,11
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,29-09-2020,-24,-8,21,-28,-36,7
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,30-09-2020,-24,-6,18,-27,-36,7
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,01-10-2020,-30,-10,-6,-31,-35,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,02-10-2020,-28,-10,-15,-25,-36,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,03-10-2020,-25,-13,13,-17,-15,4
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,04-10-2020,-29,-15,23,-23,-14,3
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,05-10-2020,-26,-10,4,-29,-39,8
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,06-10-2020,-27,-9,4,-30,-35,8
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,07-10-2020,-24,-7,14,-29,-34,8
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,08-10-2020,-40,-12,-23,-33,-37,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,09-10-2020,-36,-8,0,-29,-37,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,10-10-2020,-35,-16,14,-23,-18,5
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,11-10-2020,-46,-17,5,-30,-21,5
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,12-10-2020,-35,-12,6,-32,-41,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,13-10-2020,-37,-10,-10,-35,-37,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,14-10-2020,-37,-9,-5,-33,-36,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,15-10-2020,-40,-11,-10,-35,-38,11
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,16-10-2020,-39,-9,-8,-30,-38,12
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,17-10-2020,-37,-15,19,-23,-19,6
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,18-10-2020,-43,-16,14,-28,-21,5
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,19-10-2020,-48,-12,10,-37,-45,13
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,20-10-2020,-51,-10,-11,-42,-43,14
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,21-10-2020,-50,-8,-1,-39,-42,14
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,22-10-2020,-53,-10,-17,-42,-43,15
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,23-10-2020,-51,-6,3,-37,-43,15
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,24-10-2020,-52,-16,-3,-33,-27,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,25-10-2020,-58,-21,-4,-38,-30,8
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,26-10-2020,-50,-14,-3,-44,-49,16
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,27-10-2020,-52,-11,-14,-47,-48,16
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,28-10-2020,-54,-12,-20,-48,-52,17
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,29-10-2020,-55,-10,-36,-51,-53,18
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,30-10-2020,-50,-5,-20,-45,-53,18
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,31-10-2020,-45,-12,16,-29,-26,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,01-11-2020,-59,-20,-21,-43,-32,8
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,02-11-2020,-70,-28,-27,-65,-69,23
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,03-11-2020,-67,-15,2,-61,-62,21
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,04-11-2020,-67,-17,13,-58,-60,20
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,05-11-2020,-67,-18,4,-61,-62,21
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,06-11-2020,-68,-17,2,-57,-61,22
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,07-11-2020,-69,-23,44,-47,-34,12
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,08-11-2020,-66,-27,41,-48,-34,8
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,09-11-2020,-64,-22,4,-59,-61,20
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,10-11-2020,-66,-13,-27,-61,-60,20
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,11-11-2020,-75,-49,30,-68,-80,26
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,12-11-2020,-66,-9,-17,-59,-58,21
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,13-11-2020,-67,-14,-21,-56,-57,22
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,14-11-2020,-68,-19,32,-45,-31,12
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,15-11-2020,-72,-31,-38,-55,-37,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,16-11-2020,-64,-18,-21,-50,-50,18
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,17-11-2020,-64,-14,-8,-52,-48,18
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,18-11-2020,-62,-13,31,-48,-47,16
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,19-11-2020,-68,-18,-33,-53,-48,19
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,20-11-2020,-64,-10,-7,-48,-47,19
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,21-11-2020,-67,-20,13,-46,-30,12
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,22-11-2020,-69,-27,-4,-50,-35,9
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,23-11-2020,-62,-19,2,-49,-49,17
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,24-11-2020,-62,-12,8,-51,-46,17
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,25-11-2020,-63,-13,7,-48,-45,16
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,26-11-2020,-64,-13,-5,-50,-46,17
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,27-11-2020,-63,-11,-8,-46,-45,18
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,28-11-2020,-63,-17,63,-39,-26,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,29-11-2020,-66,-25,10,-45,-31,8
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,30-11-2020,-63,-21,-29,-50,-48,17
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,01-12-2020,-50,-9,-14,-47,-44,16
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,02-12-2020,-49,-6,-7,-45,-43,15
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,03-12-2020,-53,-11,-32,-48,-44,17
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,04-12-2020,-50,-7,-14,-42,-42,17
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,05-12-2020,-50,-14,9,-34,-22,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,06-12-2020,-55,-19,8,-40,-27,7
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,07-12-2020,-47,-17,-21,-45,-46,15
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,08-12-2020,-48,-11,-6,-47,-42,16
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,09-12-2020,-51,-12,-16,-47,-43,15
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,10-12-2020,-53,-13,-12,-48,-43,16
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,11-12-2020,-54,-15,-33,-44,-43,17
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,12-12-2020,-51,-17,-7,-36,-22,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,13-12-2020,-51,-17,20,-36,-24,7
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,14-12-2020,-48,-17,-15,-46,-47,15
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,15-12-2020,-48,-11,-12,-47,-44,15
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,16-12-2020,-47,-8,5,-44,-44,14
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,17-12-2020,-49,-10,-11,-47,-45,15
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,18-12-2020,-47,-8,2,-41,-45,16
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,19-12-2020,-52,-20,-4,-36,-22,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,20-12-2020,-46,-13,22,-34,-19,6
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,21-12-2020,-46,-17,-34,-55,-62,18
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,22-12-2020,-41,-4,-3,-54,-60,17
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,23-12-2020,-44,4,-25,-53,-59,16
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,24-12-2020,-53,-1,-42,-61,-68,18
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,25-12-2020,-82,-74,1,-75,-84,26
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,26-12-2020,-63,-35,-12,-49,-30,12
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,27-12-2020,-73,-52,-64,-58,-26,10
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,28-12-2020,-47,-16,-5,-58,-67,19
BE,Belgium,Brussels,,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,29-12-2020,-46,-11,4,-59,-66,19
